id,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,quality
977,0.41,0.3,2.1,0.083,35,72,0.997,5
978,0.59,0.29,2.6,0.109,31,119,0.99801,5
979,0.4,0.32,3.6,0.061,9,29,0.99416,7
980,0.45,0.49,1.4,0.075,3,6,0.9969,5
981,0.5,0.3,1.9,0.065,8,17,0.99774,6
982,0.86,0.26,1.9,0.079,13,28,0.99712,5
983,0.52,0.32,2.1,0.07,51,70,0.99418,6
984,0.5,0.3,1.9,0.065,8,17,0.99774,6
985,0.45,0.49,1.4,0.075,3,6,0.9969,5
986,0.58,0,2,0.064,7,11,0.99562,6
987,0.34,0.39,1.4,0.066,3,7,0.9947,7
988,0.36,0.3,1.6,0.08,35,70,0.99693,5
989,0.39,0.12,1.7,0.097,19,27,0.99596,5
990,0.295,0.4,1.5,0.073,14,21,0.99556,6
991,0.39,0.12,1.7,0.097,19,27,0.99596,5
992,0.34,0.28,2,0.082,31,68,0.99694,5
993,0.4,0.1,2,0.076,30,47,0.99554,6
994,0.34,0.28,2,0.082,31,68,0.99694,5
995,0.35,0.45,2.5,0.092,20,88,0.99918,5
996,0.6,0.06,2,0.079,19,41,0.99697,6
997,0.66,0,2.2,0.087,3,11,0.99378,7
998,0.66,0,2.2,0.087,3,11,0.99378,7
999,0.84,0.34,1.4,0.05,4,10,0.99554,6
1000,0.69,0,1.65,0.055,7,12,0.99162,6
1001,0.43,0.3,2.2,0.062,6,12,0.99495,7
1002,0.35,0.38,1.5,0.058,31,47,0.99676,7
1003,0.29,0.33,2.05,0.063,13,27,0.99516,7
1004,0.36,0.32,1.8,0.067,4,8,0.9928,7
1005,0.43,0.29,1.6,0.081,27,45,0.99603,5
1006,0.36,0.32,1.8,0.067,4,8,0.9928,7
1007,0.29,0.33,2.05,0.063,13,27,0.99516,7
1008,0.3,0.34,2,0.064,12,25,0.99516,7
1009,0.35,0.4,3.6,0.11,12,24,0.99549,7
1010,0.5,0.36,2.8,0.116,26,55,0.99722,5
1011,0.28,0.45,1.7,0.067,7,12,0.99354,7
1012,0.32,0.31,2,0.088,12,19,0.9957,6
1013,1.005,0.15,2.1,0.102,11,32,0.99604,5
1014,0.71,0,1.6,0.092,22,31,0.99635,6
1015,0.58,0.16,2,0.12,3,7,0.99454,6
1016,0.39,0.46,2.2,0.075,14,27,0.99598,6
1017,0.38,0.4,2.2,0.068,12,28,0.99486,7
1018,0.18,0.37,0.9,0.049,36,109,0.99007,6
1019,0.18,0.37,0.9,0.049,36,109,0.99007,6
1020,0.5,0.14,1.8,0.078,10,23,0.99636,5
1021,0.36,0.66,2.4,0.123,3,8,0.99642,6
1022,0.36,0.66,2.4,0.123,3,8,0.99642,6
1023,0.51,0.09,2.1,0.062,4,9,0.99584,5
1024,0.32,0.42,2.3,0.098,3,9,0.99506,6
1025,0.58,0.01,1.8,0.088,12,18,0.99568,7
1026,0.83,0,2.8,0.095,17,43,0.99822,6
1027,0.31,0.32,1.9,0.066,14,36,0.99364,6
1028,0.795,0,2.2,0.065,28,52,0.99378,5
1029,0.34,0.21,2.5,0.075,41,68,0.99586,6
1030,0.58,0.01,1.8,0.088,12,18,0.99568,7
1031,0.59,0,2.1,0.091,9,14,0.99488,7
1032,0.55,0.01,1.8,0.093,9,15,0.99514,7
1033,0.82,0,4.1,0.095,5,14,0.99854,5
1034,0.57,0.08,2.6,0.089,14,27,0.99592,6
1035,0.745,0.18,2.5,0.077,15,48,0.99739,6
1036,0.37,0.34,2.4,0.085,5,17,0.99683,7
1037,0.31,0.34,2.5,0.082,26,35,0.99356,7
1038,0.91,0.1,1.8,0.074,20,56,0.99672,5
1039,0.41,0.41,6.2,0.078,25,42,0.9953,7
1040,0.5,0.21,2.2,0.088,21,39,0.99692,6
1041,0.965,0,2.2,0.088,16,32,0.99756,5
1042,0.49,0.19,1.7,0.079,13,26,0.99547,6
1043,0.5,0.21,2.2,0.088,21,39,0.99692,6
1044,0.39,0.41,8.9,0.069,18,39,0.99859,7
1045,0.39,0.33,3.3,0.046,12,53,0.99294,6
1046,0.44,0,1.4,0.07,32,38,0.99438,6
1047,0.78,0,1.7,0.076,33,45,0.99612,6
1048,0.43,0.17,1.8,0.082,27,51,0.99634,5
1049,0.49,0.36,1.7,0.081,3,14,0.99702,6
1050,0.5,0.36,1.8,0.084,6,17,0.99704,6
1051,0.43,0.17,1.8,0.082,27,51,0.99634,5
1052,0.46,0.59,1.4,0.414,16,45,0.99702,5
1053,0.605,0.05,2.4,0.073,19,25,0.99258,5
1054,0.33,0.42,2.3,0.07,9,20,0.99426,7
1055,0.64,0.27,2,0.095,5,77,0.99747,6
1056,0.64,0.27,2,0.095,5,77,0.99747,6
1057,0.48,0.53,4,0.101,3,10,0.99586,7
1058,0.42,0.25,3.9,0.104,28,90,0.99784,5
1059,0.53,0.57,2.4,0.093,30,52,0.9971,7
1060,0.48,0.53,4,0.101,3,10,0.99586,7
1061,0.23,0.57,1.8,0.074,3,8,0.9981,6
1062,0.4,0.5,1.8,0.071,7,16,0.99462,8
1063,0.38,0.44,1.9,0.098,6,15,0.9956,6
1064,0.29,0.65,2.4,0.075,6,17,0.99565,6
1065,0.74,0.09,2,0.067,5,10,0.99418,6
1066,0.61,0.18,2.4,0.083,6,20,0.9963,6
1067,0.52,0.08,2.4,0.07,13,26,0.99358,7
1068,0.31,0.53,2.2,0.06,3,10,0.99572,7
1069,0.31,0.53,2.2,0.06,3,10,0.99572,7
1070,0.62,0.35,2.8,0.086,28,52,0.997,5
1071,0.33,0.45,1.5,0.057,19,37,0.99498,7
1072,0.77,0.2,8.1,0.098,30,92,0.99892,5
1073,0.35,0.26,1.8,0.083,33,75,0.9968,6
1074,0.62,0.33,2.7,0.088,16,37,0.9972,6
1075,0.77,0.2,8.1,0.098,30,92,0.99892,5
1076,0.25,0.34,2,0.071,45,67,0.99769,7
1077,0.32,0.56,2,0.073,3,8,0.99534,6
1078,0.37,0.65,6.4,0.08,3,8,0.99817,5
1079,0.37,0.65,6.4,0.08,3,8,0.99817,5
1080,0.3,0.68,8.3,0.05,38,278,0.99316,7
1081,0.27,0.56,1.4,0.047,3,8,0.99471,6
1082,0.3,0.68,8.3,0.05,38,289,0.99316,7
1083,0.38,0.3,1.8,0.073,31,70,0.99685,6
1084,0.42,0.45,2.4,0.072,32,59,0.99617,6
1085,0.38,0.3,1.8,0.073,31,70,0.99685,6
1086,0.48,0.08,1.8,0.074,40,64,0.99529,5
1087,0.34,0.4,4.7,0.055,3,9,0.99738,7
1088,0.19,0.42,1.6,0.057,18,30,0.994,6
1089,0.41,0.54,1.5,0.095,22,41,0.99735,7
1090,0.41,0.54,1.5,0.095,22,41,0.99735,7
1091,0.26,0.54,1.9,0.083,42,74,0.99451,8
1092,0.34,0.42,2,0.086,8,19,0.99546,6
1093,0.54,0.09,2,0.081,10,16,0.99479,6
1094,0.31,0.36,2.2,0.079,11,31,0.99615,7
1095,0.725,0.09,5.5,0.117,9,17,0.99655,6
1096,0.4,0.47,2.5,0.087,6,20,0.99772,5
1097,0.725,0.09,5.5,0.117,9,17,0.99655,6
1098,0.52,0.38,1.5,0.096,5,18,0.99666,5
1099,0.31,0.45,2.1,0.216,5,16,0.99358,7
1100,0.52,0.38,1.5,0.096,5,18,0.99666,5
1101,0.34,0.42,2.1,0.072,23,36,0.99392,6
1102,0.49,0.27,2.1,0.071,14,25,0.99388,6
1103,0.48,0.09,1.7,0.078,18,30,0.99402,6
1104,0.49,0.27,2.1,0.071,14,25,0.99388,6
1105,0.48,0.34,2.2,0.073,16,25,0.9936,6
1106,0.57,0.28,2.1,0.048,13,49,0.99374,5
1107,0.23,0.42,1.9,0.069,9,17,0.99376,6
1108,0.3,0.41,2,0.068,10,24,0.99523,7
1109,0.78,0.1,3.3,0.09,4,13,0.99855,5
1110,0.47,0.43,2.1,0.171,27,66,0.9982,6
1111,0.53,0,1.4,0.07,6,14,0.99593,6
1112,0.42,0.27,2,0.092,23,55,0.99471,7
1113,0.33,0.41,1.5,0.056,6,35,0.99396,6
1114,0.24,0.39,1.6,0.074,3,10,0.99698,6
1115,0.4,0.5,4.3,0.046,29,80,0.9902,6
1116,0.69,0.07,2.5,0.091,15,21,0.99572,6
1117,0.69,0.07,2.5,0.091,15,21,0.99572,6
1118,0.69,0.07,2.5,0.091,15,21,0.99572,6
1119,0.39,0.12,2.1,0.065,14,24,0.99252,6
1120,0.66,0,2.5,0.066,7,15,0.99256,5
1121,0.54,0.34,2.5,0.076,8,17,0.99235,8
1122,0.5,0,1.8,0.062,21,28,0.99352,6
1123,0.47,0,1.4,0.055,27,33,0.9922,6
1124,0.4,0.37,1.9,0.081,17,29,0.99674,6
1125,0.58,0,2.2,0.096,3,13,0.99557,4
1126,0.24,0.35,1.7,0.055,13,27,0.99394,7
1127,0.29,0.26,1.7,0.063,3,11,0.9915,6
1128,0.76,0,2.9,0.072,26,52,0.99379,6
1129,0.43,0.33,2.7,0.095,28,89,0.9984,5
1130,0.43,0.35,3.3,0.092,24,70,0.99798,6
1131,0.6,0,1.9,0.058,5,10,0.9977,6
1132,0.19,0.21,1.7,0.045,57,135,0.99341,5
1133,0.36,0.34,1.8,0.075,18,38,0.9933,7
1134,0.48,0.07,5.5,0.089,10,18,0.99684,7
1135,0.28,0.35,1.7,0.061,6,15,0.99524,7
1136,0.25,0.43,1.7,0.067,22,50,0.9946,6
1137,0.52,0.45,2,0.08,6,13,0.99774,6
1138,0.52,0.45,2,0.08,6,13,0.99774,6
1139,0.41,0.15,3.7,0.104,29,94,0.99786,5
1140,0.51,0.24,2,0.079,16,86,0.99764,6
1141,0.4,0.3,1.7,0.08,33,79,0.9969,6
1142,0.38,0.32,2.5,0.08,24,71,0.99624,6
1143,0.45,0.11,2.4,0.043,6,12,0.99354,6
1144,0.22,0.3,1.8,0.065,16,20,0.99672,6
1145,0.32,0.23,2.3,0.066,35,70,0.99588,5
1146,0.2,0.43,2.5,0.076,31,51,0.99672,6
1147,0.5,0.12,1.8,0.178,6,21,0.996,6
1148,0.41,0.45,6.2,0.071,6,14,0.99702,7
1149,0.39,0.42,2,0.086,9,21,0.99526,6
1150,0.35,0.47,2,0.061,6,11,0.99585,6
1151,0.33,0.32,2.8,0.067,4,12,0.99473,7
1152,0.58,0.23,2.5,0.044,16,70,0.99352,6
1153,0.6,0.25,2.2,0.118,9,38,0.99616,5
1154,0.42,0.35,2.1,0.083,17,38,0.99622,6
1155,0.58,0,2.2,0.1,50,63,0.99544,6
1156,0.6,0.25,2.2,0.118,9,38,0.99616,5
1157,0.18,0.51,1.75,0.071,45,88,0.99524,7
1158,0.51,0.18,2.1,0.042,16,101,0.9924,7
1159,0.41,0.43,2.8,0.076,22,54,0.99572,6
1160,0.41,0.43,2.2,0.11,11,37,0.99728,5
1161,0.36,0.57,2.3,0.087,6,20,0.99676,7
1162,0.45,0.43,1.4,0.076,12,21,0.99551,6
1163,0.32,0.42,2.3,0.075,12,19,0.99434,7
1164,0.785,0.24,1.7,0.078,10,21,0.99692,5
1165,0.785,0.24,1.7,0.078,10,21,0.99692,5
1166,0.44,0.5,1.9,0.369,15,38,0.99634,5
1167,0.54,0.26,2,0.111,7,60,0.99709,5
1168,0.33,0.39,2.5,0.074,29,48,0.99528,7
1169,0.34,0.27,2.8,0.067,8,44,0.99384,6
1170,0.5,0.29,2.3,0.086,5,14,0.99502,6
1171,0.36,0.34,1.6,0.062,5,12,0.99667,6
1172,0.59,0,2.2,0.078,26,44,0.99522,6
1173,0.42,0.46,2.1,0.074,5,16,0.99649,6
1174,0.36,0.31,1.7,0.079,26,65,0.99716,6
1175,0.36,0.31,1.7,0.079,26,65,0.99716,6
1176,0.61,0,2.2,0.095,48,59,0.99541,6
1177,0.88,0.03,5.6,0.079,23,47,0.99572,4
1178,0.66,0,2.4,0.052,6,11,0.99318,7
1179,0.915,0,2.1,0.041,17,78,0.99346,5
1180,0.35,0.33,2.4,0.076,11,47,0.99599,6
1181,0.35,0.33,2.4,0.076,11,47,0.99599,6
1182,0.39,0.43,1.65,0.068,5,11,0.99478,5
1183,0.4,0.4,2.5,0.068,41,54,0.99754,6
1184,0.66,0.07,1.6,0.07,16,61,0.99572,5
1185,0.64,0.23,2.1,0.08,11,119,0.99538,5
1186,0.43,0.3,2,0.085,6,39,0.99346,6
1187,0.8,0.03,7.8,0.079,6,12,0.9963,5
1188,0.43,0.3,2,0.085,6,39,0.99346,6
1189,0.64,0.23,2.1,0.08,11,119,0.99538,5
1190,0.955,0.05,1.8,0.075,5,19,0.99616,4
1191,0.4,0.57,4.6,0.08,6,20,0.99652,6
1192,0.885,0,2.3,0.166,6,12,0.99551,5
1193,0.25,0.37,2.5,0.063,11,41,0.99439,7
1194,0.885,0,2.3,0.166,6,12,0.99551,5
1195,0.745,0.12,1.8,0.114,15,64,0.99588,6
1196,0.43,0.22,1.8,0.078,21,56,0.99633,6
1197,0.58,0.23,2.3,0.076,23,94,0.99686,6
1198,0.57,0.21,1.5,0.069,4,9,0.99458,6
1199,0.26,0.26,2,0.052,19,77,0.9951,6
